Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(28, 80)",grayscale/string_image,euclidean,4,0.45484,0.7089998722076416,0.0001616599988937378
8,"(28, 80)",grayscale/string_image,hamming,4,0.45484,0.875,0.00035269999980926516
8,"(28, 80)",grayscale/string_image,euclidean,20,0.45484,0.7390000820159912,0.00015305999755859374
8,"(28, 80)",grayscale/string_image,hamming,20,0.45484,0.7080001831054688,0.000320959997177124
8,"(28, 80)",grayscale/string_image,euclidean,50,0.43502,0.7089998722076416,0.00016644000053405762
8,"(28, 80)",grayscale/string_image,hamming,50,0.43514,0.7209999561309814,0.0003200600004196167
8,"(28, 80)",grayscale/string_image,euclidean,100,0.56078,0.7580001354217529,0.00016092000007629395
8,"(28, 80)",grayscale/string_image,hamming,100,0.56078,0.690000057220459,0.0003574799966812134
8,"(28, 80)",grayscale/string_image,euclidean,250,0.56078,0.6840000152587891,0.00019309999942779542
8,"(28, 80)",grayscale/string_image,hamming,250,0.56078,0.681999921798706,0.000375
8,"(35, 32)",blackwhite/string_image,euclidean,1,0.47946,0.22899985313415527,3.9260001182556156e-05
8,"(35, 32)",blackwhite/string_image,hamming,1,0.47946,0.20199990272521973,0.0002532800006866455
8,"(35, 32)",blackwhite/string_image,euclidean,4,0.47648,0.2850000858306885,4.25e-05
8,"(35, 32)",blackwhite/string_image,hamming,4,0.47648,0.2219998836517334,0.0002522399997711182
8,"(35, 32)",blackwhite/string_image,euclidean,20,0.54662,0.2070000171661377,4.0279998779296876e-05
8,"(35, 32)",blackwhite/string_image,hamming,20,0.54652,0.2569999694824219,0.00025621999740600584
8,"(35, 32)",blackwhite/string_image,euclidean,50,0.54804,0.2779998779296875,4.585999965667724e-05
8,"(35, 32)",blackwhite/string_image,hamming,50,0.54788,0.20399999618530273,0.00029111999988555906
8,"(35, 32)",blackwhite/string_image,euclidean,100,0.54342,0.25300002098083496,5.977999687194824e-05
8,"(35, 32)",blackwhite/string_image,hamming,100,0.54346,0.21499991416931152,0.00030211999893188475
