Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(64, 64)",color/string_image/smooth,0.01,0.49946666666666667,0.0,0.0,6.3420000076293945,0.00028720000584920246
8,"(64, 64)",color/string_image/smooth,0.1,0.5066666666666667,0.5194524495677233,0.19206180074587106,6.2799999713897705,0.0002815999984741211
8,"(64, 64)",color/string_image/smooth,10.0,0.5058666666666667,0.5176211453744494,0.18779968034096964,6.206999778747559,0.0002813333511352539
8,"(64, 64)",color/string_image/smooth,100.0,0.5058666666666667,0.5176211453744494,0.18779968034096964,6.206000089645386,0.000293999989827474
8,"(64, 64)",color/string_image/smooth,1000.0,0.5058666666666667,0.5176211453744494,0.18779968034096964,6.443000078201294,0.00029959999720255534
8,"(64, 64)",color/full_image/not_smooth,0.001,0.49693333333333334,0.49693333333333334,1.0,4.455999851226807,0.0001901333491007487
8,"(64, 64)",color/full_image/not_smooth,0.01,0.49693333333333334,0.49693333333333334,1.0,4.444000005722046,0.0001912000020345052
8,"(64, 64)",color/full_image/not_smooth,0.1,0.49693333333333334,0.49693333333333334,1.0,4.579999923706055,0.0001878666877746582
8,"(64, 64)",color/full_image/not_smooth,10.0,0.4968,0.49686624883317776,0.9997316876844647,4.651000022888184,0.00018546667098999023
8,"(64, 64)",color/full_image/not_smooth,100.0,0.4968,0.49686624883317776,0.9997316876844647,4.628999948501587,0.0001846666653951009
8,"(64, 64)",color/full_image/not_smooth,1000.0,0.4968,0.49686624883317776,0.9997316876844647,4.619000196456909,0.00019160000483194986
8,"(64, 64)",color/full_image/smooth,0.001,0.48533333333333334,0.0,0.0,4.386999845504761,0.00018733332951863607
8,"(64, 64)",color/full_image/smooth,0.01,0.48533333333333334,0.0,0.0,4.298999786376953,0.00018346668879191082
8,"(64, 64)",color/full_image/smooth,0.1,0.48533333333333334,0.0,0.0,4.466000080108643,0.00018853330612182616
8,"(64, 64)",color/full_image/smooth,10.0,0.48533333333333334,0.0,0.0,5.204999923706055,0.00021066665649414063
8,"(64, 64)",color/full_image/smooth,100.0,0.48533333333333334,0.0,0.0,5.103999853134155,0.00019360001881917318
8,"(64, 64)",color/full_image/smooth,1000.0,0.48533333333333334,0.0,0.0,5.098999977111816,0.00019293333689371744
8,"(64, 64)",color/string_image/smooth,0.001,0.4948,0.4948,1.0,6.689000129699707,0.00032239999771118164
8,"(64, 64)",color/string_image/smooth,0.01,0.4948,0.4948,1.0,7.144000053405762,0.0003171999931335449
8,"(64, 64)",color/string_image/smooth,0.1,0.5066666666666667,0.504029304029304,0.18539477229857182,6.925999879837036,0.0003042666753133138
8,"(64, 64)",color/string_image/smooth,10.0,0.5066666666666667,0.504029304029304,0.18539477229857182,6.75600004196167,0.00030920000076293944
8,"(64, 64)",color/string_image/smooth,100.0,0.5066666666666667,0.504029304029304,0.18539477229857182,6.546999931335449,0.00029920002619425456
8,"(64, 64)",color/string_image/smooth,1000.0,0.5066666666666667,0.504029304029304,0.18539477229857182,6.493000030517578,0.0002969333330790202
8,"(64, 64)",grayscale/full_image,0.001,0.4944,0.0,0.0,5.13700008392334,0.00020599997838338215
8,"(64, 64)",grayscale/full_image,0.01,0.4944,0.0,0.0,4.5249998569488525,0.00019320001602172852
8,"(64, 64)",grayscale/full_image,0.1,0.4944,0.0,0.0,4.580999851226807,0.00019546667734781902
8,"(64, 64)",grayscale/full_image,10.0,0.4944,0.0,0.0,4.991000175476074,0.00019639997482299805
8,"(64, 64)",grayscale/full_image,100.0,0.4944,0.0,0.0,4.958999872207642,0.0001945333480834961
8,"(64, 64)",grayscale/full_image,1000.0,0.4944,0.0,0.0,5.019999980926514,0.0001937333106994629
8,"(64, 64)",blackwhite/full_image,0.001,0.4922666666666667,0.0,0.0,7.771000146865845,0.0003956000010172526
8,"(64, 64)",blackwhite/full_image,0.01,0.49906666666666666,0.5153892576946288,0.22426470588235295,8.16700005531311,0.0003763999938964844
8,"(64, 64)",blackwhite/full_image,0.1,0.49906666666666666,0.5153892576946288,0.22426470588235295,8.469000101089478,0.0003494666417439779
8,"(64, 64)",blackwhite/full_image,10.0,0.49906666666666666,0.5153892576946288,0.22426470588235295,7.556999921798706,0.00034493335088094074
8,"(64, 64)",blackwhite/full_image,100.0,0.49906666666666666,0.5153892576946288,0.22426470588235295,7.502000093460083,0.00033653332392374674
8,"(64, 64)",blackwhite/full_image,1000.0,0.49906666666666666,0.5153892576946288,0.22426470588235295,7.542999982833862,0.0003423999786376953
8,"(64, 64)",grayscale/string_image,0.001,0.49373333333333336,0.49373333333333336,1.0,9.115999937057495,0.00040800002415974934
8,"(64, 64)",grayscale/string_image,0.01,0.49373333333333336,0.49373333333333336,1.0,8.634999990463257,0.00039959999720255533
