Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(28, 80)",blackwhite/string_image,0.001,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.11799979209899902,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,0.002,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.11500000953674316,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,0.0015,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.12800002098083496,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,0.01,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.12800002098083496,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,0.02,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.12900018692016602,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,0.015,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.12200021743774414,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,0.1,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.25,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,0.2,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.38299989700317383,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,0.15,0.5696333333333333,0.5693822131704005,0.9867639272898405,0.32400012016296387,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,10.0,0.5696333333333333,0.5693822131704005,0.9867639272898405,8.394000053405762,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,20.0,0.5696333333333333,0.5693822131704005,0.9867639272898405,9.391999959945679,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,15.0,0.5696333333333333,0.5693822131704005,0.9867639272898405,9.33400011062622,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,100.0,0.5666333333333333,0.5666333333333333,1.0,9.505000114440918,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,200.0,0.5666333333333333,0.5666333333333333,1.0,9.177000045776367,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,150.0,0.43343333333333334,0.5555555555555556,0.0005882698982293077,9.101999998092651,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,1000.0,0.5666333333333333,0.5666333333333333,1.0,9.206000089645386,6.666183471679688e-08
8,"(28, 80)",blackwhite/string_image,2000.0,0.568,0.5678937636577576,0.9937055120889464,9.09500002861023,6.666978200276693e-08
8,"(28, 80)",blackwhite/string_image,1500.0,0.5576333333333333,0.566424346090799,0.9350550032354844,9.179999828338623,6.666978200276693e-08
8,"(28, 80)",color/full_image/not_smooth,0.001,0.5666666666666667,0.5666666666666667,1.0,0.13299989700317383,6.666978200276693e-08
8,"(28, 80)",color/full_image/not_smooth,0.002,0.5666666666666667,0.5666666666666667,1.0,0.13099980354309082,3.333886464436849e-08
8,"(28, 80)",color/full_image/not_smooth,0.0015,0.5666666666666667,0.5666666666666667,1.0,0.13000011444091797,6.666978200276693e-08
8,"(28, 80)",color/full_image/not_smooth,0.01,0.5666666666666667,0.5666666666666667,1.0,0.13400006294250488,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,0.02,0.5666666666666667,0.5666666666666667,1.0,0.14100003242492676,3.333886464436849e-08
8,"(28, 80)",color/full_image/not_smooth,0.015,0.5666666666666667,0.5666666666666667,1.0,0.1399998664855957,6.666978200276693e-08
8,"(28, 80)",color/full_image/not_smooth,0.1,0.5666666666666667,0.5666666666666667,1.0,0.23100018501281738,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,0.2,0.5666666666666667,0.5666666666666667,1.0,0.36700010299682617,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,0.15,0.5666666666666667,0.5666666666666667,1.0,0.3690001964569092,3.333091735839844e-08
8,"(28, 80)",color/full_image/not_smooth,10.0,0.5666666666666667,0.5666666666666667,1.0,8.784000158309937,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,20.0,0.5666666666666667,0.5666666666666667,1.0,8.743000030517578,3.333091735839844e-08
8,"(28, 80)",color/full_image/not_smooth,15.0,0.5666666666666667,0.5666666666666667,1.0,9.015000104904175,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,100.0,0.5666666666666667,0.5666666666666667,1.0,8.348999977111816,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,200.0,0.5666666666666667,0.5666666666666667,1.0,8.500999927520752,6.666978200276693e-08
8,"(28, 80)",color/full_image/not_smooth,150.0,0.43333333333333335,0.0,0.0,8.559999942779541,3.333091735839844e-08
8,"(28, 80)",color/full_image/not_smooth,1000.0,0.5666666666666667,0.5666666666666667,1.0,8.58299994468689,3.333091735839844e-08
8,"(28, 80)",color/full_image/not_smooth,2000.0,0.43333333333333335,0.0,0.0,8.455000162124634,6.666183471679688e-08
8,"(28, 80)",color/full_image/not_smooth,1500.0,0.43333333333333335,0.0,0.0,8.75600004196167,6.666978200276693e-08
8,"(28, 80)",grayscale/full_image,0.001,0.5632,0.5632,1.0,0.1360001564025879,6.666183471679688e-08
8,"(28, 80)",grayscale/full_image,0.002,0.5632,0.5632,1.0,0.12999987602233887,6.666978200276693e-08
8,"(28, 80)",grayscale/full_image,0.0015,0.5632,0.5632,1.0,0.13300013542175293,3.333091735839844e-08
8,"(28, 80)",grayscale/full_image,0.01,0.5632,0.5632,1.0,0.127000093460083,3.333091735839844e-08
8,"(28, 80)",grayscale/full_image,0.02,0.5632,0.5632,1.0,0.1380000114440918,6.666978200276693e-08
8,"(28, 80)",grayscale/full_image,0.015,0.5632,0.5632,1.0,0.14499998092651367,3.333886464436849e-08
8,"(28, 80)",grayscale/full_image,0.1,0.5632,0.5632,1.0,0.2970001697540283,3.333091735839844e-08
8,"(28, 80)",grayscale/full_image,0.2,0.5632,0.5632,1.0,0.4160001277923584,3.333091735839844e-08
8,"(28, 80)",grayscale/full_image,0.15,0.5632,0.5632,1.0,0.34800004959106445,6.666978200276693e-08
8,"(28, 80)",grayscale/full_image,10.0,0.5632,0.5632,1.0,8.950999975204468,6.666978200276693e-08
8,"(28, 80)",grayscale/full_image,20.0,0.5632,0.5632,1.0,9.003999948501587,6.666978200276693e-08
