Hash Size,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
64,hamming,500,0.56992,0.07200002670288086,0.0031966399955749513
128,euclidean,1,0.52872,0.1380000114440918,0.002122159996032715
128,hamming,1,0.52872,0.10900020599365234,0.005881119995117187
128,euclidean,4,0.53488,0.13100004196166992,0.0027203199958801268
128,hamming,4,0.53904,0.14299988746643066,0.006392000007629395
128,euclidean,20,0.552,0.14299988746643066,0.003211840000152588
128,hamming,20,0.56792,0.1530001163482666,0.006227600002288818
128,euclidean,50,0.56048,0.1119999885559082,0.0031820800018310547
128,hamming,50,0.57824,0.13000011444091797,0.0063526399993896485
128,euclidean,100,0.56504,0.11599993705749512,0.0037360799980163573
128,hamming,100,0.58336,0.14599990844726562,0.006235920009613037
128,euclidean,250,0.55888,0.09600019454956055,0.003761039981842041
128,hamming,250,0.5904,0.11899995803833008,0.00642488000869751
128,euclidean,300,0.5624,0.14600014686584473,0.0036370399856567384
128,hamming,300,0.58784,0.12600016593933105,0.005942239990234375
128,euclidean,500,0.56648,0.11500000953674316,0.003918320007324219
128,hamming,500,0.586,0.11699986457824707,0.006278080005645752
256,euclidean,1,0.5316,0.3359999656677246,0.0053248800086975094
256,hamming,1,0.5316,0.2929999828338623,0.011682000007629395
256,euclidean,4,0.53888,0.2890000343322754,0.0061016799926757815
256,hamming,4,0.54208,0.3020000457763672,0.01190064001083374
256,euclidean,20,0.55152,0.3000001907348633,0.006492559986114502
256,hamming,20,0.56848,0.317000150680542,0.011914159984588623
256,euclidean,50,0.56368,0.3859999179840088,0.0063015200042724605
256,hamming,50,0.58472,0.32700014114379883,0.011371359996795654
256,euclidean,100,0.56768,0.2669999599456787,0.006442159996032715
256,hamming,100,0.59128,0.30500006675720215,0.011598159999847412
256,euclidean,250,0.56528,0.2999999523162842,0.006681040000915527
256,hamming,250,0.59352,0.29600000381469727,0.011599039993286132
256,euclidean,300,0.56544,0.2890000343322754,0.006636560001373291
256,hamming,300,0.59552,0.29000020027160645,0.011716079998016358
256,euclidean,500,0.56576,0.3340001106262207,0.006687360000610352
256,hamming,500,0.5932,0.3229999542236328,0.011706319999694825
512,euclidean,1,0.53872,0.8509998321533203,0.010902639999389648
512,hamming,1,0.53392,0.8320000171661377,0.023752479991912843
512,euclidean,4,0.54144,0.8400001525878906,0.011513279991149903
512,hamming,4,0.5416,0.8009998798370361,0.023825120010375976
512,euclidean,20,0.55688,0.8009998798370361,0.011835120010375977
512,hamming,20,0.568,0.8059999942779541,0.02404087999343872
512,euclidean,50,0.56976,0.8280000686645508,0.012029839992523193
512,hamming,50,0.58752,0.8910000324249268,0.024142080001831056
512,euclidean,100,0.57432,0.8439998626708984,0.012051119995117187
512,hamming,100,0.59688,1.008000135421753,0.02417511999130249
512,euclidean,250,0.586,0.8450000286102295,0.01196152000427246
512,hamming,250,0.59488,0.807999849319458,0.02414320001602173
512,euclidean,300,0.58128,0.8710000514984131,0.012061040000915527
512,hamming,300,0.5944,0.8259999752044678,0.024345200004577638
512,euclidean,500,0.57936,0.8299999237060547,0.012178080005645752
512,hamming,500,0.59192,0.8330001831054688,0.024051359996795654
