Hash Size,Image Shape,Image Type,KNN Type,Neighbours,Accuracy,Fit Time,Average Query Time
8,"(128, 128)",color/string_image/smooth,euclidean,1,0.50176,0.03299999237060547,2.7280006408691408e-05
8,"(128, 128)",color/string_image/smooth,hamming,1,0.50152,0.026999950408935547,8.143999099731445e-05
8,"(128, 128)",color/string_image/smooth,euclidean,4,0.4964,0.0279998779296875,2.7840003967285157e-05
8,"(128, 128)",color/string_image/smooth,hamming,4,0.49656,0.029000043869018555,8.391998291015626e-05
8,"(128, 128)",color/string_image/smooth,euclidean,20,0.50208,0.028999805450439453,2.9120006561279297e-05
8,"(128, 128)",color/string_image/smooth,hamming,20,0.50176,0.03299999237060547,8.719999313354493e-05
8,"(128, 128)",color/string_image/smooth,euclidean,50,0.5072,0.03399991989135742,3.039999008178711e-05
8,"(128, 128)",color/string_image/smooth,hamming,50,0.50664,0.026000022888183594,9.767999649047851e-05
8,"(128, 128)",color/string_image/smooth,euclidean,100,0.5068,0.031000137329101562,4.039999008178711e-05
8,"(128, 128)",color/string_image/smooth,hamming,100,0.50616,0.029999971389770508,0.00010368000030517578
8,"(128, 128)",color/string_image/smooth,euclidean,250,0.50712,0.029999971389770508,7.560001373291016e-05
8,"(128, 128)",color/string_image/smooth,hamming,250,0.50952,0.029999971389770508,0.00014463998794555664
8,"(128, 128)",grayscale/full_image,euclidean,1,0.5008,0.14100003242492676,0.00010368000030517578
8,"(128, 128)",grayscale/full_image,hamming,1,0.5008,0.11300015449523926,0.00013751998901367189
8,"(128, 128)",grayscale/full_image,euclidean,4,0.49928,0.11899995803833008,0.00011128000259399414
8,"(128, 128)",grayscale/full_image,hamming,4,0.49928,0.1269998550415039,0.00013720001220703126
8,"(128, 128)",grayscale/full_image,euclidean,20,0.4992,0.10600018501281738,0.00010463998794555665
8,"(128, 128)",grayscale/full_image,hamming,20,0.4992,0.12199997901916504,0.00012711999893188477
8,"(128, 128)",grayscale/full_image,euclidean,50,0.5008,0.11399984359741211,0.00011152000427246094
8,"(128, 128)",grayscale/full_image,hamming,50,0.5008,0.12199997901916504,0.00013511999130249024
8,"(128, 128)",grayscale/full_image,euclidean,100,0.5008,0.125,0.00011224000930786132
8,"(128, 128)",grayscale/full_image,hamming,100,0.5008,0.10100007057189941,0.00013239999771118163
8,"(128, 128)",grayscale/full_image,euclidean,250,0.5008,0.10500001907348633,0.000131200008392334
8,"(128, 128)",grayscale/full_image,hamming,250,0.5008,0.11899995803833008,0.00016559999465942383
8,"(128, 128)",blackwhite/full_image,euclidean,1,0.5008,0.1100001335144043,9.368000030517578e-05
8,"(128, 128)",blackwhite/full_image,hamming,1,0.5008,0.10599994659423828,0.00012432001113891602
8,"(128, 128)",blackwhite/full_image,euclidean,4,0.49936,0.10400009155273438,9.704000473022461e-05
8,"(128, 128)",blackwhite/full_image,hamming,4,0.49936,0.1099998950958252,0.0001296000099182129
8,"(128, 128)",blackwhite/full_image,euclidean,20,0.4992,0.10000014305114746,0.00010031999588012695
8,"(128, 128)",blackwhite/full_image,hamming,20,0.4992,0.10700011253356934,0.00012559999465942384
8,"(128, 128)",blackwhite/full_image,euclidean,50,0.5008,0.10500001907348633,0.0001029599952697754
8,"(128, 128)",blackwhite/full_image,hamming,50,0.5008,0.11699986457824707,0.0001315999984741211
8,"(128, 128)",blackwhite/full_image,euclidean,100,0.5008,0.10600018501281738,0.00011447999954223633
8,"(128, 128)",blackwhite/full_image,hamming,100,0.5008,0.10400009155273438,0.00013951999664306642
8,"(128, 128)",blackwhite/full_image,euclidean,250,0.5008,0.10499978065490723,0.00013744001388549804
8,"(128, 128)",blackwhite/full_image,hamming,250,0.5008,0.10199999809265137,0.00016288000106811523
8,"(128, 128)",grayscale/string_image,euclidean,1,0.51256,0.016000032424926758,1.167999267578125e-05
8,"(128, 128)",grayscale/string_image,hamming,1,0.51256,0.016000032424926758,6.695999145507812e-05
8,"(128, 128)",grayscale/string_image,euclidean,4,0.49896,0.01900005340576172,1.2639999389648437e-05
8,"(128, 128)",grayscale/string_image,hamming,4,0.49896,0.014999866485595703,7.256000518798829e-05
8,"(128, 128)",grayscale/string_image,euclidean,20,0.5104,0.01699995994567871,1.408000946044922e-05
8,"(128, 128)",grayscale/string_image,hamming,20,0.51024,0.017999887466430664,7.184000015258789e-05
8,"(128, 128)",grayscale/string_image,euclidean,50,0.51752,0.016000032424926758,1.791999816894531e-05
8,"(128, 128)",grayscale/string_image,hamming,50,0.51752,0.01399993896484375,7.871999740600585e-05
8,"(128, 128)",grayscale/string_image,euclidean,100,0.51864,0.01699995994567871,2.4239997863769532e-05
8,"(128, 128)",grayscale/string_image,hamming,100,0.51848,0.017999887466430664,9.072000503540039e-05
8,"(128, 128)",grayscale/string_image,euclidean,250,0.5116,0.01900005340576172,5.903999328613281e-05
8,"(128, 128)",grayscale/string_image,hamming,250,0.5104,0.023999929428100586,0.000137760009765625
8,"(64, 64)",blackwhite/string_image,euclidean,1,0.51608,0.08699989318847656,8.472000122070312e-05
8,"(64, 64)",blackwhite/string_image,hamming,1,0.51608,0.08800005912780762,0.00012479999542236328
8,"(64, 64)",blackwhite/string_image,euclidean,4,0.5108,0.0969998836517334,8.152000427246094e-05
8,"(64, 64)",blackwhite/string_image,hamming,4,0.5108,0.09999990463256836,0.00012232000350952148
