Hash Size,Image Shape,Image Type,C-Val,Accuracy,Precision,Recall,Fit Time,Average Query Time
8,"(128, 128)",grayscale/string_image,0.01,0.5122666666666666,0.5310077519379846,0.28948758584257794,14.924999952316284,0.0007401333491007487
8,"(128, 128)",grayscale/string_image,0.1,0.5110666666666667,0.5262461402734891,0.315108293713682,14.992000102996826,0.0007094666798909506
8,"(128, 128)",grayscale/string_image,10.0,0.5110666666666667,0.5262461402734891,0.315108293713682,14.44700002670288,0.0007058666547139486
8,"(128, 128)",grayscale/string_image,100.0,0.5110666666666667,0.5262461402734891,0.315108293713682,14.409000158309937,0.0007074666659037273
8,"(128, 128)",grayscale/string_image,1000.0,0.5110666666666667,0.5262461402734891,0.315108293713682,14.648000001907349,0.0007493333498636882
8,"(64, 64)",blackwhite/string_image,0.001,0.49906666666666666,0.49906666666666666,1.0,6.867000102996826,0.0003030666669209798
8,"(64, 64)",blackwhite/string_image,0.01,0.5089333333333333,0.5352941176470588,0.12156024579214533,6.260999917984009,0.00023093334833780923
8,"(64, 64)",blackwhite/string_image,0.1,0.5090666666666667,0.541838134430727,0.1055303232701042,5.330000162124634,0.00022786664962768554
8,"(64, 64)",blackwhite/string_image,10.0,0.5090666666666667,0.541838134430727,0.1055303232701042,5.364000082015991,0.00022426665623982746
8,"(64, 64)",blackwhite/string_image,100.0,0.5090666666666667,0.541838134430727,0.1055303232701042,5.375999927520752,0.00022146666844685873
8,"(64, 64)",blackwhite/string_image,1000.0,0.5090666666666667,0.541838134430727,0.1055303232701042,5.212000131607056,0.00023999999364217122
8,"(64, 64)",color/string_image/not_smooth,0.001,0.4972,0.4972,1.0,8.215999841690063,0.0004217333475748698
8,"(64, 64)",color/string_image/not_smooth,0.01,0.5136,0.5257797581158498,0.22150710646285868,8.832000017166138,0.0003977333386739095
8,"(64, 64)",color/string_image/not_smooth,0.1,0.5134666666666666,0.5254777070063694,0.22123893805309736,7.490999937057495,0.0003578666687011719
8,"(64, 64)",color/string_image/not_smooth,10.0,0.5132,0.524904214559387,0.22043443282381336,7.496000051498413,0.0003599999745686849
8,"(64, 64)",color/string_image/not_smooth,100.0,0.5132,0.524904214559387,0.22043443282381336,7.763999938964844,0.00036906665166219077
8,"(64, 64)",color/string_image/not_smooth,1000.0,0.5132,0.524904214559387,0.22043443282381336,7.569999933242798,0.0003582666714986165
8,"(64, 64)",color/string_image/smooth,0.001,0.4961333333333333,0.4961333333333333,1.0,9.825999975204468,0.00048000001907348635
8,"(64, 64)",color/string_image/smooth,0.01,0.4978666666666667,0.49667208992752554,0.902445579145391,9.79699993133545,0.00048533334732055666
8,"(64, 64)",color/string_image/smooth,0.1,0.5034666666666666,0.4997330485851575,0.7546358505778017,9.799999952316284,0.0004970666885375977
8,"(64, 64)",color/string_image/smooth,10.0,0.502,0.4986528098537336,0.6963181940338619,9.700999975204468,0.00047000001271565756
8,"(64, 64)",color/string_image/smooth,100.0,0.502,0.4986528098537336,0.6963181940338619,9.702000141143799,0.0004729333241780599
8,"(64, 64)",color/string_image/smooth,1000.0,0.502,0.4986528098537336,0.6963181940338619,9.84000015258789,0.0005071999867757161
8,"(64, 64)",color/full_image/not_smooth,0.001,0.4928,0.4928,1.0,3.2170000076293945,0.00013720000584920247
8,"(64, 64)",color/full_image/not_smooth,0.01,0.4928,0.4928,1.0,3.075000047683716,0.00013946666717529297
8,"(64, 64)",color/full_image/not_smooth,0.1,0.4928,0.4928,1.0,3.1629998683929443,0.000146666685740153
8,"(64, 64)",color/full_image/not_smooth,10.0,0.4928,0.4928,1.0,3.1089999675750732,0.00013293333053588868
8,"(64, 64)",color/full_image/not_smooth,100.0,0.4928,0.4928,1.0,2.931999921798706,0.00012466665903727213
8,"(64, 64)",color/full_image/not_smooth,1000.0,0.4928,0.4928,1.0,2.952000141143799,0.00012213331858317058
8,"(64, 64)",color/full_image/smooth,0.001,0.49173333333333336,0.0,0.0,3.1089999675750732,0.00012733332316080729
8,"(64, 64)",color/full_image/smooth,0.01,0.49173333333333336,0.0,0.0,2.8980000019073486,0.0001240000089009603
8,"(64, 64)",color/full_image/smooth,0.1,0.49173333333333336,0.0,0.0,2.934999942779541,0.0001206666628519694
8,"(64, 64)",color/full_image/smooth,10.0,0.492,1.0,0.0005246589716684155,2.878000020980835,0.00012453333536783853
8,"(64, 64)",color/full_image/smooth,100.0,0.492,1.0,0.0005246589716684155,3.015000104904175,0.00012573334376017253
8,"(64, 64)",color/full_image/smooth,1000.0,0.492,1.0,0.0005246589716684155,2.8989999294281006,0.00012440001169840496
8,"(64, 64)",color/string_image/smooth,0.001,0.49546666666666667,0.49546666666666667,1.0,10.53600001335144,0.0004936000188191732
8,"(64, 64)",color/string_image/smooth,0.01,0.49546666666666667,0.49546666666666667,1.0,10.263000011444092,0.0005076000213623047
8,"(64, 64)",color/string_image/smooth,0.1,0.51,0.5106493506493507,0.26453175457481165,9.90499997138977,0.00048453334172566734
8,"(64, 64)",color/string_image/smooth,10.0,0.5101333333333333,0.510914760914761,0.26453175457481165,9.88699984550476,0.00048453334172566734
8,"(64, 64)",color/string_image/smooth,100.0,0.5101333333333333,0.510914760914761,0.26453175457481165,10.225000143051147,0.0005104000091552735
8,"(64, 64)",color/string_image/smooth,1000.0,0.5101333333333333,0.510914760914761,0.26453175457481165,10.553999900817871,0.0005064000129699707
8,"(64, 64)",grayscale/full_image,0.001,0.49773333333333336,0.0,0.0,5.809999942779541,0.0002578666687011719
8,"(64, 64)",grayscale/full_image,0.01,0.5042666666666666,0.5113163972286374,0.2938677993097956,5.692999839782715,0.0002488000233968099
8,"(64, 64)",grayscale/full_image,0.1,0.5042666666666666,0.5113163972286374,0.2938677993097956,5.486000061035156,0.0002449333190917969
8,"(64, 64)",grayscale/full_image,10.0,0.5042666666666666,0.5113163972286374,0.2938677993097956,5.416999816894531,0.00024079999923706054
8,"(64, 64)",grayscale/full_image,100.0,0.5042666666666666,0.5113163972286374,0.2938677993097956,5.621999979019165,0.0002607999801635742
8,"(64, 64)",grayscale/full_image,1000.0,0.5042666666666666,0.5113163972286374,0.2938677993097956,5.539999961853027,0.0002425333340962728
8,"(64, 64)",blackwhite/full_image,0.001,0.4972,0.4972,1.0,3.308000087738037,0.0001368000030517578
8,"(64, 64)",blackwhite/full_image,0.01,0.4972,0.4972,1.0,3.2149999141693115,0.00013999999364217123
8,"(64, 64)",blackwhite/full_image,0.1,0.4972,0.4972,1.0,3.2089998722076416,0.0001380000114440918
8,"(64, 64)",blackwhite/full_image,10.0,0.49706666666666666,0.4971329510601413,0.9997318315902387,3.299999952316284,0.00013626667658487955
8,"(64, 64)",blackwhite/full_image,100.0,0.49706666666666666,0.4971329510601413,0.9997318315902387,3.245999813079834,0.00013413333892822266
8,"(64, 64)",blackwhite/full_image,1000.0,0.49706666666666666,0.4971329510601413,0.9997318315902387,3.2189998626708984,0.00013960002263387045
8,"(64, 64)",grayscale/string_image,0.001,0.4956,0.0,0.0,5.831000089645386,0.0002688000043233236
8,"(64, 64)",grayscale/string_image,0.01,0.5101333333333333,0.5673671199011124,0.12133227597145123,5.552999973297119,0.00025600001017252606
8,"(64, 64)",grayscale/string_image,0.1,0.5101333333333333,0.5690747782002535,0.11868887126619085,5.4730000495910645,0.00024519999821980795
8,"(64, 64)",grayscale/string_image,10.0,0.5098666666666667,0.5681528662420382,0.11789584985461274,5.450999975204468,0.00024306666056315103
8,"(64, 64)",grayscale/string_image,100.0,0.5098666666666667,0.5681528662420382,0.11789584985461274,5.517999887466431,0.00023933334350585938
8,"(64, 64)",grayscale/string_image,1000.0,0.5098666666666667,0.5681528662420382,0.11789584985461274,5.7190001010894775,0.00029839998881022134
8,"(48, 64)",blackwhite/string_image,0.001,0.49893333333333334,0.0,0.0,4.598999977111816,0.0002041333516438802
8,"(48, 64)",blackwhite/string_image,0.01,0.5118666666666667,0.5899814471243042,0.0846194784459819,4.6549999713897705,0.0002241333325703939
8,"(48, 64)",blackwhite/string_image,0.1,0.5118666666666667,0.5899814471243042,0.0846194784459819,4.733999967575073,0.00019506667455037436
8,"(48, 64)",blackwhite/string_image,10.0,0.5118666666666667,0.5906542056074766,0.08408728046833422,4.7769999504089355,0.00019186665217081706
8,"(48, 64)",blackwhite/string_image,100.0,0.5118666666666667,0.5906542056074766,0.08408728046833422,4.703999996185303,0.00019066664377848309
8,"(48, 64)",blackwhite/string_image,1000.0,0.5118666666666667,0.5906542056074766,0.08408728046833422,4.7809998989105225,0.00019213333129882812
8,"(48, 64)",color/string_image/not_smooth,0.001,0.49293333333333333,0.0,0.0,10.491999864578247,0.000494266668955485
8,"(48, 64)",color/string_image/not_smooth,0.01,0.4997333333333333,0.5497076023391813,0.07415198527478306,10.139999866485596,0.0005257333437601726
8,"(48, 64)",color/string_image/not_smooth,0.1,0.5025333333333334,0.5183112919633774,0.26794635813831186,9.956000089645386,0.0004797333081563314
8,"(48, 64)",color/string_image/not_smooth,10.0,0.5026666666666667,0.5185750636132316,0.26794635813831186,9.896000146865845,0.0004902666409810384
8,"(48, 64)",color/string_image/not_smooth,100.0,0.5026666666666667,0.5185750636132316,0.26794635813831186,9.990000009536743,0.0005110666592915853
8,"(48, 64)",color/string_image/not_smooth,1000.0,0.5026666666666667,0.5185750636132316,0.26794635813831186,10.646000146865845,0.0004827999750773112
8,"(48, 64)",color/string_image/smooth,0.001,0.48773333333333335,0.0,0.0,11.681999921798706,0.0005264000256856282
8,"(48, 64)",color/string_image/smooth,0.01,0.5053333333333333,0.532803180914513,0.27902134305049453,10.786999940872192,0.0005311999956766764
8,"(48, 64)",color/string_image/smooth,0.1,0.5229333333333334,0.5336391437308868,0.5450286309213951,10.67300009727478,0.0005023999849955241
8,"(48, 64)",color/string_image/smooth,10.0,0.5229333333333334,0.5336562978072412,0.5447683498178032,10.776999950408936,0.0005271999994913737
8,"(48, 64)",color/string_image/smooth,100.0,0.5229333333333334,0.5336562978072412,0.5447683498178032,10.84600019454956,0.0005075999895731608
8,"(48, 64)",color/string_image/smooth,1000.0,0.5229333333333334,0.5336562978072412,0.5447683498178032,10.657999992370605,0.0005114666620890299
8,"(48, 64)",color/full_image/not_smooth,0.001,0.49173333333333336,0.0,0.0,8.82800006866455,0.0004271999994913737
8,"(48, 64)",color/full_image/not_smooth,0.01,0.5316,0.5479320294966336,0.44832109129066106,8.714999914169312,0.0004366666793823242
8,"(48, 64)",color/full_image/not_smooth,0.1,0.5316,0.5479320294966336,0.44832109129066106,8.608000040054321,0.00040359999338785807
8,"(48, 64)",color/full_image/not_smooth,10.0,0.5316,0.5479320294966336,0.44832109129066106,8.736999988555908,0.0004030666669209798
8,"(48, 64)",color/full_image/not_smooth,100.0,0.5316,0.5479320294966336,0.44832109129066106,8.464999914169312,0.00040146665573120117
8,"(48, 64)",color/full_image/not_smooth,1000.0,0.5316,0.5479320294966336,0.44832109129066106,8.546000003814697,0.0004034666697184245
8,"(48, 64)",color/full_image/smooth,0.001,0.4998666666666667,0.0,0.0,7.417999982833862,0.00033439998626708984
8,"(48, 64)",color/full_image/smooth,0.01,0.5225333333333333,0.54323499491353,0.28472407358037854,6.73799991607666,0.00032199999491373696
8,"(48, 64)",color/full_image/smooth,0.1,0.5225333333333333,0.54323499491353,0.28472407358037854,6.485999822616577,0.00031466668446858724
8,"(48, 64)",color/full_image/smooth,10.0,0.5225333333333333,0.54323499491353,0.28472407358037854,6.523999929428101,0.00030746666590372723
8,"(48, 64)",color/full_image/smooth,100.0,0.5225333333333333,0.54323499491353,0.28472407358037854,6.552000045776367,0.00030933332443237307
