Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
16,"(48, 64)",color/full_image/smooth,0.508,30.75882625579834,0.00013100982666015625,0.5310,0.6927
16,"(48, 64)",color/string_image/smooth,0.50432,21.945751190185547,0.00013132892608642578,0.5219,0.6917
16,"(48, 64)",grayscale/full_image,0.50432,27.43290901184082,0.00013659473419189454,0.5160,0.6933
16,"(48, 64)",blackwhite/full_image,0.50432,26.288590669631958,0.0001361166763305664,0.4957,0.6936
16,"(48, 64)",grayscale/string_image,0.50432,21.525598526000977,0.00015175434112548827,0.5182,0.6932
16,"(128, 64)",blackwhite/string_image,0.508,19.954983949661255,0.00014377567291259764,0.5114,0.6941
16,"(128, 64)",color/string_image/not_smooth,0.508,18.169247150421143,0.0001429776382446289,0.5021,0.6928
16,"(128, 64)",color/string_image/smooth,0.50432,27.162794589996338,0.0001734561538696289,0.5043,0.6942
16,"(128, 64)",color/full_image/not_smooth,0.508,36.881250858306885,0.0001644028091430664,0.5299,0.6917
16,"(128, 64)",color/full_image/smooth,0.508,64.1347062587738,0.00016813228607177733,0.4930,0.6952
16,"(128, 64)",color/string_image/smooth,0.50432,27.230734825134277,0.00015470779418945313,0.5077,0.6944
16,"(128, 64)",grayscale/full_image,0.50432,58.63995718955994,0.0001661048126220703,0.5106,0.6931
16,"(128, 64)",blackwhite/full_image,0.50432,72.17470026016235,0.00015989696502685547,0.5093,0.6960
16,"(128, 64)",grayscale/string_image,0.50432,58.01292634010315,0.00017336788177490234,0.5194,0.6924
32,"(128, 128)",blackwhite/string_image,0.508,27.3196918964386,0.00016643444061279297,0.5210,0.6961
32,"(128, 128)",color/string_image/not_smooth,0.508,66.06223702430725,0.00016265178680419922,0.5050,0.6959
32,"(128, 128)",color/string_image/smooth,0.50432,43.21645164489746,0.0001875332260131836,0.5115,0.6932
32,"(128, 128)",color/full_image/not_smooth,0.508,28.34935164451599,0.00020955883026123047,0.5298,0.6923
32,"(128, 128)",color/full_image/smooth,0.508,35.38588500022888,0.00021566532135009766,0.5310,0.6931
32,"(128, 128)",color/string_image/smooth,0.50432,47.65329337120056,0.00017377300262451172,0.5130,0.6930
32,"(128, 128)",grayscale/full_image,0.50432,32.816927433013916,0.00017210578918457032,0.5139,0.6923
32,"(128, 128)",blackwhite/full_image,0.50432,31.0083909034729,0.00017549747467041015,0.5021,0.6960
32,"(128, 128)",grayscale/string_image,0.50432,37.400272607803345,0.0001902835464477539,0.5139,0.6954
32,"(64, 64)",blackwhite/string_image,0.508,31.847749710083008,0.00020389816284179687,0.5029,0.6995
32,"(64, 64)",color/string_image/not_smooth,0.508,33.574886322021484,0.00019932136535644532,0.5187,0.6930
32,"(64, 64)",color/string_image/smooth,0.50432,34.169331312179565,0.0001888302993774414,0.5126,0.6933
32,"(64, 64)",color/full_image/not_smooth,0.508,41.18088340759277,0.00019026065826416015,0.5304,0.6907
32,"(64, 64)",color/full_image/smooth,0.508,28.089333057403564,0.00020230869293212891,0.5293,0.6934
32,"(64, 64)",color/string_image/smooth,0.50432,32.925230741500854,0.0002017156219482422,0.5107,0.6932
32,"(64, 64)",grayscale/full_image,0.50432,39.34919047355652,0.00021574851989746095,0.5133,0.6934
